;winner
EUW1_5729491218;red
EUW1_5729603334;red
EUW1_5729620165;red
EUW1_5729622651;blue
EUW1_5729665143;blue
EUW1_5729685551;blue
EUW1_5729691546;blue
EUW1_5729708289;red
EUW1_5729711315;blue
EUW1_5729742082;blue
EUW1_5729757958;red
EUW1_5729787195;red
EUW1_5729790773;red
EUW1_5729810435;blue
EUW1_5729836829;blue
EUW1_5729848647;red
EUW1_5729861730;red
EUW1_5729881777;red
EUW1_5729886117;blue
EUW1_5729888993;red
EUW1_5729893530;blue
EUW1_5729918463;red
EUW1_5729944713;red
EUW1_5729947964;red
EUW1_5729950860;red
EUW1_5729966021;blue
EUW1_5729975455;blue
EUW1_5729979425;blue
EUW1_5729996161;red
EUW1_5730018228;red
EUW1_5730031466;red
EUW1_5730059591;red
EUW1_5730136925;red
EUW1_5730141668;red
EUW1_5730190273;red
EUW1_5730191650;red
EUW1_5730215549;blue
EUW1_5730239867;blue
EUW1_5730254473;blue
EUW1_5730260526;blue
EUW1_5730271447;red
EUW1_5730314450;red
EUW1_5730326735;red
EUW1_5730334984;red
EUW1_5730345083;red
EUW1_5730358086;red
EUW1_5730375090;red
EUW1_5730382537;blue
EUW1_5730400598;red
EUW1_5730419038;blue
EUW1_5730425778;blue
EUW1_5730427056;red
EUW1_5730427961;red
EUW1_5730447990;red
EUW1_5730473742;red
EUW1_5730510204;blue
EUW1_5730511291;red
EUW1_5730516952;red
EUW1_5730541988;blue
EUW1_5730542002;blue
EUW1_5730547841;red
EUW1_5730552655;blue
EUW1_5730594200;red
EUW1_5730605993;red
EUW1_5730657831;blue
EUW1_5730701198;blue
EUW1_5730759285;blue
EUW1_5730765999;blue
EUW1_5730796234;blue
EUW1_5730814212;blue
EUW1_5730820457;blue
EUW1_5730838616;red
EUW1_5730883313;blue
EUW1_5730900259;blue
EUW1_5730902514;blue
EUW1_5730904542;blue
EUW1_5730910306;red
EUW1_5730945894;red
EUW1_5730986606;blue
EUW1_5730990778;red
EUW1_5731014444;red
EUW1_5731060088;blue
EUW1_5731060733;blue
EUW1_5731086063;blue
EUW1_5731098666;red
EUW1_5731135811;blue
EUW1_5731178783;red
EUW1_5731207939;red
EUW1_5731211205;blue
EUW1_5731213686;blue
EUW1_5731222913;red
EUW1_5731225748;blue
EUW1_5731240371;blue
EUW1_5731279238;red
EUW1_5731307172;blue
EUW1_5731334901;blue
EUW1_5731335568;blue
EUW1_5731341718;red
EUW1_5731350622;red
EUW1_5731371954;red
EUW1_5731416865;red
EUW1_5731429780;blue
EUW1_5731458053;blue
EUW1_5731470217;blue
EUW1_5731515607;red
EUW1_5731542808;blue
EUW1_5731557393;blue
EUW1_5731570409;red
EUW1_5731596857;red
EUW1_5731609561;blue
EUW1_5731629885;blue
EUW1_5731630427;blue
EUW1_5731641984;blue
EUW1_5731644072;red
EUW1_5731644744;red
EUW1_5731671321;red
EUW1_5731681804;red
EUW1_5731700201;red
EUW1_5731731732;blue
EUW1_5731733647;red
EUW1_5731737135;red
EUW1_5731763304;blue
EUW1_5731772171;blue
EUW1_5731776206;red
EUW1_5731794005;blue
EUW1_5731804163;red
EUW1_5731809584;red
EUW1_5731828543;red
EUW1_5731855806;blue
EUW1_5731870702;red
EUW1_5731871825;red
EUW1_5731898838;red
EUW1_5731920698;blue
EUW1_5731924240;blue
EUW1_5731949233;blue
EUW1_5731964951;blue
EUW1_5731965994;blue
EUW1_5731991298;blue
EUW1_5732001748;blue
EUW1_5732008426;blue
EUW1_5732048056;blue
EUW1_5732051793;red
EUW1_5732065819;red
EUW1_5732071856;red
EUW1_5732093804;blue
EUW1_5732105778;red
EUW1_5732141745;blue
EUW1_5732167639;blue
EUW1_5732330164;blue
EUW1_5732382704;red
EUW1_5732577273;blue
EUW1_5732646530;red
EUW1_5732720793;blue
EUW1_5732722546;red
EUW1_5732784779;red
EUW1_5732813277;blue
EUW1_5732917105;blue
EUW1_5732931049;blue
EUW1_5732948897;blue
EUW1_5733013679;red
EUW1_5733038202;blue
EUW1_5733039508;red
EUW1_5733062206;blue
EUW1_5733079283;blue
EUW1_5733103921;red
EUW1_5733105565;blue
EUW1_5733111548;red
EUW1_5733125180;red
EUW1_5733201221;red
EUW1_5733348350;red
EUW1_5733366176;blue
EUW1_5733733606;red
EUW1_5733759500;red
EUW1_5733759894;blue
EUW1_5733783962;red
EUW1_5733786808;red
EUW1_5733790485;red
EUW1_5733810279;blue
EUW1_5733822810;blue
EUW1_5733825380;blue
EUW1_5733826666;blue
EUW1_5733853251;blue
EUW1_5733885333;red
EUW1_5733886280;blue
EUW1_5733896607;red
EUW1_5733909817;red
EUW1_5733916297;red
EUW1_5733918969;blue
EUW1_5733925372;red
EUW1_5733939921;blue
EUW1_5733952797;red
EUW1_5733960597;red
EUW1_5733961341;red
EUW1_5733967037;blue
EUW1_5733971150;blue
EUW1_5733980906;red
EUW1_5734005461;blue
EUW1_5734014485;red
EUW1_5734030584;blue
EUW1_5734046892;red
EUW1_5734052029;blue
EUW1_5734052293;blue
EUW1_5734077437;blue
EUW1_5734081212;blue
EUW1_5734095119;blue
EUW1_5734097977;red
EUW1_5734106541;red
EUW1_5734132553;blue
EUW1_5734135272;red
EUW1_5734152950;red
EUW1_5734158457;blue
EUW1_5734160869;blue
EUW1_5734163429;blue
EUW1_5734168192;red
EUW1_5734219064;red
EUW1_5734262750;blue
EUW1_5734281315;red
EUW1_5734285373;blue
EUW1_5734293121;blue
EUW1_5734341276;red
EUW1_5734354903;blue
EUW1_5734419426;red
EUW1_5734441297;blue
EUW1_5734474071;blue
EUW1_5734493746;blue
EUW1_5734496208;blue
EUW1_5734520191;blue
EUW1_5734557802;blue
EUW1_5734571952;red
EUW1_5734573004;blue
EUW1_5734578814;red
EUW1_5734641747;red
EUW1_5734676494;blue
EUW1_5734689564;red
EUW1_5734705613;red
EUW1_5734723455;blue
EUW1_5734730464;blue
EUW1_5734787964;red
EUW1_5734801482;red
EUW1_5734816211;blue
EUW1_5734831702;blue
EUW1_5734916071;blue
EUW1_5734923072;blue
EUW1_5734970560;red
EUW1_5734989694;red
EUW1_5735038238;red
EUW1_5735038401;blue
EUW1_5735054214;red
EUW1_5735065462;blue
EUW1_5735134851;blue
EUW1_5735150118;blue
EUW1_5735194025;red
EUW1_5735211285;red
EUW1_5735213312;red
EUW1_5735216949;blue
EUW1_5735229306;blue
EUW1_5735277280;red
EUW1_5735284264;blue
EUW1_5735295158;red
EUW1_5735297726;red
EUW1_5735302777;red
EUW1_5735314410;blue
EUW1_5735317058;red
EUW1_5735321534;red
EUW1_5735326477;blue
EUW1_5735339383;red
EUW1_5735346415;red
EUW1_5735353184;blue
EUW1_5735359779;red
EUW1_5735362654;blue
EUW1_5735370893;blue
EUW1_5735374849;red
EUW1_5735377063;blue
EUW1_5735378987;red
EUW1_5735381390;red
EUW1_5735385646;blue
EUW1_5735390430;red
EUW1_5735392515;blue
EUW1_5735408169;red
EUW1_5735417978;blue
EUW1_5735422031;blue
EUW1_5735422247;red
EUW1_5735434937;red
EUW1_5735455622;blue
EUW1_5735471123;blue
EUW1_5735482426;red
EUW1_5735486910;blue
EUW1_5735499649;blue
EUW1_5735504485;blue
EUW1_5735528466;red
EUW1_5735559064;blue
EUW1_5735576601;red
EUW1_5735591737;red
EUW1_5735592007;blue
EUW1_5735645137;blue
EUW1_5735651071;blue
EUW1_5735655868;red
EUW1_5735692936;blue
EUW1_5735710639;blue
EUW1_5735742273;blue
