;winner
EUW1_5743474041;blue
EUW1_5743481216;red
EUW1_5743484905;red
EUW1_5743498012;red
EUW1_5743505203;blue
EUW1_5743507915;red
EUW1_5743514095;blue
EUW1_5743527169;blue
EUW1_5743531973;red
EUW1_5743537674;red
EUW1_5743538482;blue
EUW1_5743542979;red
EUW1_5743549289;red
EUW1_5743550326;blue
EUW1_5743551271;red
EUW1_5743558744;red
EUW1_5743571311;red
EUW1_5743575695;blue
EUW1_5743578942;red
EUW1_5743592619;red
EUW1_5743596134;red
EUW1_5743617892;blue
EUW1_5743619984;red
EUW1_5743622931;blue
EUW1_5743623137;red
EUW1_5743629470;red
EUW1_5743633259;blue
EUW1_5743634950;blue
EUW1_5743635386;red
EUW1_5743652522;blue
EUW1_5743665066;blue
EUW1_5743668160;red
